Users,Free Users,Premium Users,Total Reads (10/day),Total Writes (10/day),Reads Cost (10/day),Writes Cost (10/day),Total Cost (10/day),Total Reads (20/day),Total Writes (20/day),Reads Cost (20/day),Writes Cost (20/day),Total Cost (20/day),Premium Revenue,Profit (10/day),Profit (20/day)
10000,9800,200,2994000,299400,1.80,0.54,2.34,5988000,598800,3.59,1.08,4.67,1998,1995.66,1993.33
100000,98000,2000,29940000,2994000,17.96,5.39,23.35,59880000,5988000,35.93,10.78,46.71,19980,19956.65,19933.29
500000,490000,10000,149700000,14970000,89.82,26.95,116.77,299400000,29940000,179.64,53.89,233.53,99900,99783.23,99666.47
1000000,980000,20000,299400000,29940000,179.64,53.89,233.53,598800000,59880000,359.28,107.78,467.06,199800,199566.47,199332.94
10000000,9800000,200000,2994000000,299400000,1796.40,538.92,2335.32,5988000000,598800000,3592.80,1077.84,4670.64,1998000,1995664.68,1993329.36
